file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\1\G_p.csv,1,0.0,0.01,G_p,m^{-3} s^{-1},1.1250000042650754e-08,2.6863240767385013e+28,8.782377020303661e+26,0,4.336803243371118e+31
sim\snapshots\1\H_joule_device.csv,1,0.0,0.01,H_joule_device,W m^{-3},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn.csv,1,0.0,0.01,Jn,A m^{-2},-0.703221321105957,220.04713439941406,33.94291716152233,5,359070.11249147507
sim\snapshots\1\Jn_all.csv,1,0.0,0.01,Jn_all,A m^{-2},1.1250000042650754e-08,0.001224749954417348,2.0524179580411467e-05,0,2655.260002581369
sim\snapshots\1\Jn_diffusion.csv,1,0.0,0.01,Jn_diffusion,A m^{-2},-271164736.0,1.2455369234085083,-2969438.269152498,51,442484343288.97064
sim\snapshots\1\Jn_drift.csv,1,0.0,0.01,Jn_drift,A m^{-2},-0.046253424137830734,271164960.0,2969472.050169915,2,442484349739.22614
sim\snapshots\1\Jn_drift_plus_diffusion.csv,1,0.0,0.01,Jn_drift_plus_diffusion,A m^{-2},-0.6800783276557922,220.04713439941406,33.594736325382804,5,359071.2111006634
sim\snapshots\1\Jn_plus_Jp.csv,1,0.0,0.01,Jn_plus_Jp,A m^{-2},1.1250000042650754e-08,220.04714965820312,108.18985163999311,0,359071.2111006634
sim\snapshots\1\Jn_x.csv,1,0.0,0.01,Jn_x,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_x_diffusion.csv,1,0.0,0.01,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_x_drift.csv,1,0.0,0.01,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_z.csv,1,0.0,0.01,Jn_z,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_z_diffusion.csv,1,0.0,0.01,Jn_z_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_z_drift.csv,1,0.0,0.01,Jn_z_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jp.csv,1,0.0,0.01,Jp,A m^{-2},2.2684608358414238e-10,220.7503662109375,74.27700791464716,0,63360034.49611435
sim\snapshots\1\Jp_all.csv,1,0.0,0.01,Jp_all,A m^{-2},1.1250000042650754e-08,0.001224749954417348,2.0524179580411467e-05,0,2655.260002581369
sim\snapshots\1\Jp_diffusion.csv,1,0.0,0.01,Jp_diffusion,A m^{-2},-75035016.0,166.41737365722656,-1300685.1427892102,50,105867318946535.39
sim\snapshots\1\Jp_drift.csv,1,0.0,0.01,Jp_drift,A m^{-2},-6.863266577283866e-08,75035240.0,1300759.771540775,1,105867326932646.72
sim\snapshots\1\Jp_drift_plus_diffusion.csv,1,0.0,0.01,Jp_drift_plus_diffusion,A m^{-2},-6.844815203521648e-08,220.7272186279297,74.5951278267607,1,73447327.483031
sim\snapshots\1\Jp_x.csv,1,0.0,0.01,Jp_x,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jp_x_diffusion.csv,1,0.0,0.01,Jp_x_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jp_x_drift.csv,1,0.0,0.01,Jp_x_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jp_z.csv,1,0.0,0.01,Jp_z,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jp_z_diffusion.csv,1,0.0,0.01,Jp_z_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jp_z_drift.csv,1,0.0,0.01,Jp_z_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\mu_n.csv,1,0.0,0.01,mu_n,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.0027604341573194127,0,19464.71973790856
sim\snapshots\1\mu_n_ft.csv,1,0.0,0.01,mu_n_ft,m^{2} V^{-1} s^{-1},9.999483185918479e-11,0.009999568574130535,0.0027602943366811378,0,19463.865838075173
sim\snapshots\1\mu_p.csv,1,0.0,0.01,mu_p,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.002760443907319546,0,19464.71973790856
